Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
gg_rsh2_Link,0.0419429149642356,-2.68905076272752E-06,3.56683808377944E-06,0,0,0,0.0248848374342612,1.30396985610604E-05,-1.11524570643438E-10,2.23505469138815E-10,6.79317648943525E-06,-2.71985954880275E-10,7.49518502375986E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh2_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rsh2_Link.STL,,shoulder2_r-1,gg_rsh2_link12,axis_rsh2,gg_rsh2_joint,revolute,0,0,0.0425000008690849,-1.5707963267949,0,0,gg_rsh1_Link,0,0,-1,0,0,-3.1416,0,,,,,,,,
gg_rup_Link,-0.0134580824206121,0.00559925490584134,0.115285754057479,0,0,0,0.186512140859523,0.0010968548819787,3.66894254551335E-08,-1.63421546598697E-08,0.00101486771744197,7.6010344481468E-05,0.000252652799336481,0,0,0,0,0,0,package://gg_description/meshes/gg_rup_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rup_Link.STL,,upper_arm_r-2,gg_rup_link13,axis_rup,gg_rup_joint,revolute,0.0525020799566041,0.0134600008776389,0,1.5707963267949,0,1.57079632889709,gg_rsh2_Link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
gg_rfo_Link,-0.00636392874628855,0.0443187792850652,-0.0134108846717047,0,0,0,0.078708037980908,0.000142501417323633,-2.85076611405841E-05,-3.54279459871569E-09,8.45415887824212E-05,3.29103853992219E-09,0.000143444548402331,0,0,0,0,0,0,package://gg_description/meshes/gg_rfo_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rfo_Link.STL,,forearm_r-1,gg_rfo_link14,axis_rfo,gg_rfo_joint,revolute,0,0,0.257097917271541,1.5707963267949,0,1.5707963267949,gg_rup_Link,0,0,-1,0,0,0,2.1817,,,,,,,,
gg_rwr1_Link,0.000960346520169852,-4.09349725652985E-05,-0.0749380923489797,0,0,0,0.11389315133205,0.000119267874430709,7.97246981145315E-09,-1.56203889051018E-06,0.000129201425035623,-1.25420855390573E-07,5.4605410730218E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr1_Link.STL,,wrist_r-1,gg_wr1_link15,axis_rwr1,gg_rwr1_joint,revolute,0,0.0944000009584798,-0.0134600007672695,1.5707963267949,0,0,gg_rfo_Link,0,0,1,0,0,-2.618,2.618,,,,,,,,
gg_rwr2_Link,5.27035959831945E-05,0.0149429972956123,-0.000477296526397386,0,0,0,9.51863081125802E-06,4.4447503945275E-09,5.55003931203248E-12,5.2946687568552E-14,5.82329186061077E-09,3.73101441494862E-12,3.84018286041126E-09,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rwr2_Link.STL,,wrist-hand_r-1,gg_rwr2_link16,axis_rwr2,gg_rwr2_joint,revolute,0,0,-0.11755,-1.5708,0,0,gg_rwr1_Link,0,0,1,0,0,-1.2217,1.2217,,,,,,,,
gg_rbaseha_Link,-3.46662190466862E-05,-0.00143531076907066,0.00106282905844968,0,0,0,0.0288403504387064,4.83725908281321E-06,4.14903498339935E-09,1.68331968166638E-09,6.93893759256986E-06,1.15975580281495E-07,5.07061471926491E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rbaseha_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rbaseha_Link.STL,,base_gripper_right-1,gg_rbasehand_link17,Axis_gg_rbaseha_joint2,gg_rbaseha_joint,fixed,0,0.0386368164576881,0,0,0,0,gg_rwr2_Link,0,0,0,,,,,,,,,,,,
gg_rff_Link,0.00939550629777475,-2.83237858456076E-06,0.0340069487151574,0,0,0,0.024481616476187,1.04726803527831E-05,2.82637263258838E-10,-9.62509894843006E-08,5.79799511163099E-06,-6.73202258873545E-11,7.03589541366527E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rff_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rff_Link.STL,,right_finger_right-1,gg_rff_link27,Axis_gg_rff_joint2,gg_rff_joint,prismatic,0.0100020709762965,0.063891720357569,-0.00136312082810863,1.55644753044553,0,0,gg_rbaseha_Link,1,0,0,0,0,0,0.02,,,,,,,,
gg_rfr_Link,0.00939553269660132,-0.000563990601135433,0.0340025958410232,0,0,0,0.0244814918278841,1.04724702119457E-05,1.66324895414296E-09,-9.62280058819903E-08,5.79805172935487E-06,-1.78314521454913E-08,7.03562682326511E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_rfr_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_rfr_Link.STL,,left_finger_right-1,gg_rfr_link28,Axis_gg_rfr_joint2,gg_rfr_joint,prismatic,-0.010005,0.063892,-0.0013631,-1.5708,0,3.1416,gg_rbaseha_Link,1,0,0,0,0,0,0.02,,,,,,,,
gg_lsh1_Link,-8.14446443619943E-09,2.71893079162311E-08,-0.0175032164290977,0,0,0,0.0381303823374847,3.59625774466957E-05,-8.782004901661E-10,5.1652066670528E-11,2.30670245308033E-05,1.30351481865151E-11,3.63431445157019E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_lsh1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lsh1_Link.STL,,shoulder1_l-1,gg_lsh1_link19,axis_lsh1,gg_lsh1_joint,revolute,0,0.189839999999998,0.974352062277305,1.5707963267949,1.5707963267949,0,base_link,-1.65185565703954E-05,0,-0.999999999863569,0,0,-1.5708,3.1416,,,,,,,,
gg_lsh2_Link,0.0403929904725797,1.40690178659364E-05,3.54217267184431E-06,0,0,0,0.0248848009097077,1.30396546158409E-05,-1.10434393732099E-10,2.23998906533502E-10,6.79313876074864E-06,-2.47303233758556E-10,7.49518433835214E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_lsh2_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lsh2_Link.STL,,shoulder2_l-1,gg_lsh2_link20,axis_lsh2,gg_lsh2_joint,revolute,0.00154990979692626,0,-0.0424832768576723,-1.5707963267949,0,0,gg_lsh1_Link,0,0,-1,0,0,-3.1416,0,,,,,,,,
gg_lup_Link,-1.91755366957258E-06,-0.00559925229167701,0.113588534330144,0,0,0,0.186512208420852,0.00109685612254701,3.66596457877962E-08,1.64266736344448E-08,0.0010148681282286,-7.60102013124441E-05,0.000252653648190317,0,0,0,0,0,0,package://gg_description/meshes/gg_lup_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lup_Link.STL,,upper_arm_l-1,gg_lup_link21,axis_lup,gg_lup_joint,revolute,0.0526493868628737,1.67223669861882E-05,0,-1.5707963267949,0,-1.5707963267949,gg_lsh2_Link,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
gg_lfo_Link,-0.00636412444299728,-0.0443193301436605,-4.90513516736291E-05,0,0,0,0.0787080680556365,0.000142500626377126,2.85074890657573E-05,3.58942783714796E-09,8.45403839853453E-05,3.31320535737995E-09,0.000143443932964028,0,0,0,0,0,0,package://gg_description/meshes/gg_lfo_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lfo_Link.STL,,forearm_l-1,gg_lfo_link22,axis_lfo,gg_lfo_joint,revolute,0,0,0.255399998394072,-1.5707963267949,0,-1.5707963267949,gg_lup_Link,0,0,1,0,0,0,2.1817,,,,,,,,
gg_lwr1_Link,0.000960367443756494,4.09327990248676E-05,0.0749387972708226,0,0,0,0.113893162625388,0.000119267877078213,-7.97363485965435E-09,1.56203894566025E-06,0.000129201426467251,-1.25420722931249E-07,5.46054135122238E-05,0,0,0,0,0,0,package://gg_description/meshes/gg_lwr1_Link.STL,1,1,1,0.35,0,0,0,0,0,0,package://gg_description/meshes/gg_lwr1_Link.STL,,wrist_l-1,gg_lwr1_link23,axis_lwr1,gg_lwr1_joint,revolute,0,-0.0944000013387671,0,1.5707963267949,0,0,gg_lfo_Link,0,0,1,0,0,-2.618,2.618,,,,,,,,
gg_lwr2_Link,5.25547150048711E-05,-0.0149437167109086,0.000477116749709544,0,0,0,9.51875564799266E-06,4.44477237002039E-09,-5.55123140554893E-12,-7.47720553782032E-14,5.82333866745832E-09,3.73108068466697E-12,3.84020974400786E-09,0,0,0,0,0,0,package://gg_description/meshes/gg_lwr2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://gg_description/meshes/gg_lwr2_Link.STL,,wrist-hand_l-1,gg_lwr2_link24,axis_lwr2,gg_lwr2_joint,revolute,0,0,0.117549998791541,-1.5707963267949,0,0,gg_lwr1_Link,0,0,1,0,0,-1.2217,1.2217,,,,,,,,
gg_lbaseha_Link,-3.46443770958826E-05,0.00138606765821769,-0.00106936975719524,0,0,0,0.0288403474642093,4.83725868223061E-06,-4.20069787582921E-09,-1.54992521668011E-09,6.94443668469871E-06,5.60835825737299E-08,5.06511522825688E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_lbaseha_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_lbaseha_Link.STL,,base_gripper_left-1,gg_lbasehand_link25,Axis_gg_lbaseha_joint2,gg_lbaseha_joint,fixed,0,-0.0386368164576881,0,0,0,0,gg_lwr2_Link,0,0,0,,,,,,,,,,,,
gg_lff_Link,0.0093955080299607,0.00157113871445155,0.0339706389707615,0,0,0,0.0244816183889169,1.04726784863631E-05,-4.17226742466384E-09,-9.61612586827225E-08,5.80064271716413E-06,5.71683263537019E-08,7.03324782854151E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_lff_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_lff_Link.STL,,right_finger_left-1,gg_lff_link28,Axis_gg_lff_joint2,gg_lff_joint,prismatic,0.0100011053706025,-0.0638301184763955,0.00344229451811068,-1.5707963267949,0,0,gg_lbaseha_Link,1,0,0,0,0,0,0.02,,,,,,,,
gg_lfr_Link,0.0093955347572251,-0.00157677606487289,0.0339700251461681,0,0,0,0.0244814767725134,1.04724632417437E-05,4.73622835691414E-09,-9.61256707192296E-08,5.80045400567467E-06,-5.73117167567454E-08,7.03321890484212E-06,0,0,0,0,0,0,package://gg_description/meshes/gg_lfr_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://gg_description/meshes/gg_lfr_Link.STL,,left_finger_left-1,gg_lfr_link28,Axis_gg_lfr_joint2,gg_lfr_joint,prismatic,-0.00999824554758277,-0.0638329160811288,0.00336911913045193,1.5707963267949,0,3.14159265358979,gg_lbaseha_Link,1,0,0,0,0,0,0.02,,,,,,,,
